video_id,title,channel_title,published_at,category_id,tags,duration,views,likes,comments,region
OWcexT-IBw4,Stranger Things Season 5 Death Predictions Based on Official Trailer!,Film Stocked,2025-11-04T22:35:48Z,24,"['stranger things', 'stranger things 5', 'stranger things season 5', 'stranger things season 5 trailer', 'stranger things death predictions', 'stranger things season 5 death predictions', 'stranger things characters ranked', 'film stocked', 'filmstocked', 'tier list', 'stranger things characters tier list', 'stranger things trailer', 'stranger things 5 trailer', 'stranger things season 5 predictions', 'stranger things season 5 theories', 'stranger things season 5 official trailer', 'stranger things tier list']",PT17M23S,10983,1016,185,
v7ETn1mgHv8,AI Generates My BRAINROTS In Steal A Brainrot!!,KAYE,2025-11-04T21:20:04Z,20,"['AI Generates My BRAINROTS In Steal A Brainrot!!', 'steal a brainrot', 'ai', 'brainrots', 'sab', 'steal a brainrot roblox glitch', 'kaye']",PT23M35S,136718,3252,911,
u3M1zReLMTk,Alice In Chains - Man in the Box (Lyrics),7clouds Rock,2025-11-04T14:01:36Z,22,"['man in the box', 'man in the box lyrics', 'lyrics man in the box', 'alice in chains', 'lyrics', 'alice in chains man in the box', 'man in the box alice in chains', 'alice in chains man in the box lyrics', 'lyrics alice in chains man in the box', 'alice in chains lyrics', 'alice in chains lyrics man in the box', 'man in the box lyrics alice in chains', 'lyrics man in the box alice in chains', 'man in the box alice in chains lyrics']",PT4M46S,76499,433,22,
WGXW4tD-2FA,Kimora: Back in the Fab Lane - Official Trailer | E! Entertainment,E! Entertainment,2025-11-04T18:00:19Z,24,"['Kimora: Back in the Fab Lane', 'E! SHOWS', 'ENTERTAINMENT', 'KIMORA LEE SIMMONS', 'KIMORA_LEE_SIMMONS', 'PARTNER AMAZON', 'REALITY TV', 'REALITY_TV', 'KIMORA: LIFE IN THE FAB LANE', 'REALITY', 'E_SHOWS', 'reality tv', 'kimora', 'lee simmons', 'baby phat', 'nostalgia', 'reality clips', 'fashion', 'model', 'reality', 'tennis', 'phat farm', 'aoki lee simmons', 'ming lee simmons', 'trailer', 'new show', 'fab lane']",PT1M41S,22697,1408,140,
Ld1wZxdtoy8,The Slickness of Super Mario Galaxy 2,videogamedunkey,2025-11-04T20:30:06Z,20,"['mario', 'super mario galaxy', 'super mario galaxy 2', 'dunkey', 'dunkey mario galaxy 2', 'dunkey mario galaxy', 'dunkview', 'mario dunkview', 'super mario galaxy dunkview', 'mario galaxy 2', 'mario galaxy 2 hd', 'mario galaxy hd', 'mario galaxy switch 2', 'nintendo switch 2', 'switch', 'nintendo', 'mario galaxy 2 review', 'super mario galaxy 2 review', 'super mario galaxy 2 dunkview', 'super mario odyssey', 'donkey kong dunkey', 'donkey kong dunkview', 'mario odyssey dunkview', '3d world dunkview', '3d world', 'mario odyssey']",PT16M10S,311301,26306,1580,
lSfZi29lTUw,JamBeats - Autumn Nights (Original Mix),JamBeats,2025-11-04T07:19:24Z,10,"['dndm & jambeats', 'voices', 'dndm remix', 'jamshidshoox shavkatov', 'miami music', 'jamshidshoox beats', 'miami', 'jambeats love', 'orginal mix', 'jambeats', 'dndm', 'jama pubg', 'bella ciao', 'bella ciao dndm cover', 'tenrtakcha klip', 'mirjalol neamtov', 'mirjalol remix', 'jambeats orginal mix', 'still you', 'Night & Broken', 'dndm night', 'Deep Feelin', 'dndm sound', 'dndm xamdam sobirov', 'javad', 'javad khamid', 'javad remix', 'car music mix', 'dndm & jambeats - voices']",PT5M29S,658255,1985,49,
9I4FKW0tlFU,"Delhi Crime: Season 3 | Official Trailer | Shefali Shah, Huma Qureshi, Rasika Dugal | Netflix",Netflix India,2025-11-04T09:01:11Z,24,"['Huma Qureshi', 'Mita Vasisht', 'Next On Netflix', 'Rajesh Tailang', 'Rasika Dugal', 'Sayani Gupta', 'Shefali Shah', 'crime', 'delhi crime', 'delhi crime 3', 'delhi crime netflix', 'delhi crime new season', 'delhi crime season 3', 'delhi crime series', 'delhi crime trailer', 'delhi police', 'emmy award', 'huma qureshi movies', 'human trafficking', 'new season', 'official trailer', 'real case', 'real story', 'shefali shah movies', 'shefali shah new series', 'web series']",PT2M32S,989349,19452,566,
dTFzdsslujw,Starting Over With SUPER LUCKY BLOCKS!,CashBlox,2025-11-04T12:30:58Z,24,"['Cash', 'Nico', 'Nico and Cash', 'Cash and Nico', 'Minecraft', 'Minecraft mod', 'family friendly', 'kid friendly']",PT20M3S,460580,12586,3380,
liSbd7hDOlg,Kenny Muney - Papi's Home (Official Video),Kenny Muney,2025-11-04T19:59:12Z,10,[],PT2M38S,32320,1594,105,
8gOgSwZAq4M,STAR WARS™: Galaxy of Heroes - 10th Anniversary Celebration Trailer,Star Wars,2025-11-04T17:00:12Z,24,[],PT1M30S,34150,2520,217,
3fN5zFkeA4A,Metroid Prime 4: Beyond – Nintendo Switch 2 Edition – Survive,Nintendo of America,2025-11-04T15:00:11Z,20,"['nintendo', 'game', 'gameplay', 'fun', 'video game', 'action', 'adventure', 'rpg', 'play', 'switch', 'nintendo switch']",PT1M13S,490905,31477,3858,
O9JMUcZOPW8,"Mijares, Lucero - El Privilegio De Amar (Letra/Lyrics)",Crixara,2025-11-03T19:30:04Z,10,"['crixara', 'Mijares Lucero El Privilegio De Amar Letra', 'El Privilegio De Amar Lyrics', 'Mijares y Lucero', 'Manuel Mijares', 'Lucero', 'Letra Oficial', 'El Privilegio De Amar letra completa', 'Canción El Privilegio De Amar', 'Mijares El Privilegio De Amar', 'Lucero El Privilegio De Amar', 'Música Romántica', 'Balada Pop', 'Canciones de Amor', 'Música de los 90s', 'Música en Español', 'Dueto Mijares y Lucero', 'El Privilegio De Amar', 'Lucerito', 'Mijares El Privilegio', 'letra', 'lucero mijares']",PT3M59S,868797,1421,13,
SKopVKbHEB0,Worlds 2025 Final Opening Ceremony Trailer | Presented by Mastercard,LoL Esports,2025-11-04T16:00:42Z,20,"['lol', 'league of legends', 'esports', 'lol esports', 'worlds 2025', 'league anthem', 'league music video', 'worlds anthem', 'worlds 2025 anthem', 'sacrifice', 'G.E.M.', '鄧紫棋', 'GEM', 'anyma', 'teya', 'chrissy costanza', 'bite marks', 'legends never die', 'phoenix', 'warriors', 'league championship', 'lol championship', 'league finals', 'lol finals', 'worlds 2025 finals', 'worlds 2025 games', 'pro lol', 'lol tournament', 'league tournament', 'opening ceremony', 'oc', 'live performance', 'riot music', 'riot games music', 'league music', 'lol music']",PT56S,134937,6154,296,
Th3P88T_i1E,The New Battlefield BR is Goofy,SMii7Yplus,2025-11-04T21:43:14Z,20,"['smii7y', 'smii7yplus', 'smii7y+', 'smii7y plus', 'battlefield 6', 'battlefield 6 redsec', 'battlefield 6 redsec gameplay', 'battlefield 6 battle royale', 'battlefield 6 redsec battle royale', 'redsec', 'battlefield 6 br', 'battlefield redsec', 'battlefield battle royale', 'battlefield', 'bf6 battle royale', 'battle royale', 'battlefield redsec gameplay', 'battlefield 6 gameplay', 'battlefield 6 multiplayer']",PT17M,195135,28434,472,
kpERC3U3yxw,Jennifer Lopez - Let's Get Loud (Lyrics),7clouds,2025-11-04T14:01:30Z,10,"[""let's get loud"", ""let's get loud lyrics"", ""lyrics let's get loud"", ""let's get loud letra"", ""letra let's get loud"", 'jenifer lopez', ""jenifer lopez let's get loud"", ""let's get loud jenifer lopez"", ""jenifer lopez let's get loud letra"", ""let's get loud jenifer lopez letra"", ""let's get loud jenifer lopez lyrics"", ""jenifer lopez let's get loud lyrics"", ""Let's get loud let's get loud"", 'Turn the music up to hear that sound', ""Ain't nobody gotta tell ya what you gotta do"", ""jennifer lopez let's get loud tiktok""]",PT4M,164917,1027,39,
GvMxZCiTHPY,"I Am Legend 2 (2025) - First Trailer | Will Smith, Michael B. Jordan",KH Studio,2025-11-03T12:00:29Z,1,"['i am legend 2', 'i am legend 2 trailer', 'i am legend 2 2025', 'i am legend 2 trailer 2025', 'i am legend 2 trailer movie', 'i am legend 2 trailer watch', 'willsmith and michael b jordan', 'i am legend 2 new movie teaser', 'i am legend 2 teaser trailer movie', 'i am legend 2 teaser trailer', 'i am legend 2 new trailer', 'i am legend 2 first trailer', 'i am legend 2 2025 trailer', 'i am legend 2 movie', 'i am legend 2 movie trailer', 'i am legend 2 will smith and michael b jordan']",PT1M29S,132575,550,79,
xRR6jokT5JI,(STREAM WITH JYNXZI) GRIEF 83% // 65%+ ×64 || STREAM 287,Doggie,2025-11-05T04:02:52Z,20,"['geometry dash', 'doggiedasher', 'doggie', 'gd', 'extreme', 'demon', 'extreme demon', 'zdoggie', 'doggiegd', 'verification', 'top 1']",PT4H10M55S,128912,10123,93,
qdiCIDpcUPk,Jordan Adetunji - Smoke n Drank [Official Audio],Jordan Adetunji,2025-11-04T05:01:07Z,10,"['jordan adetunji', 'jordan', 'adetunji', 'Jordan Adetunji', 'KEHLANI', 'kehlani', 'uk rap', 'uk hip hop', 'uk rapper', 'northern ireland', 'london', 'ireland', 'jordan adetunji tiktok', 'kehlani tiktok song', 'lil baby', 'swae lee', 'london hip hop', 'london artist', 'jordan adetunji kehlani', 'kehlani jordan adetunji', 'Jordan Adetunji - Smoke n Drank [Official Audio]', 'jordan adetunji smoke n drank', 'smoke n drank jordan adetunji', 'smoke n drank', 'smoke', 'drank', 'jordan adetunji new music', 'jordan adetunji new song']",PT2M32S,46148,1214,53,
3hSKowI9pyw,NEW BLACK OPS 7 GAMEPLAY TRAILER: NEW ZOMBIES & CAMPAIGN GAMEPLAY!!,MrDalekJD,2025-11-04T18:09:57Z,20,"['black ops 7', 'black ops 7 zombies', 'call of duty', 'bo7 zombies', 'black ops 7 zombies gameplay trailer', 'black ops 7 zombies reveal', 'black ops 7 zombies reveal trailer', 'ashes of the damned', 'black ops 7 zombies gameplay', 'call of duty black ops 7', 'black ops 7 zombies trailer', 'black ops 7 gameplay', 'bo7 zombies gameplay', 'black ops 7 zombies gameplay reveal', 'black ops 7 zombies teaser']",PT10M42S,40835,1340,216,
